Subj_idx,Stimulus,Response,Confidence,RT_dec,DotDiff,Accuracy
1,1,0,7,0.906,43,0
1,1,0,9,0.626,15,0
1,1,1,5,1.253,13,1
1,1,1,8,0.634,2,1
1,1,1,7,0.731,49,1
1,1,1,8,0.567,52,1
1,0,0,7,2.487,33,1
1,0,1,7,0.744,4,0
1,0,1,8,0.504,58,0
1,1,1,8,0.557,21,1
1,0,0,7,0.856,6,1
1,1,1,7,1.233,32,1
1,0,0,7,2.673,51,1
1,0,1,5,2.676,65,0
1,1,1,5,1.199,25,1
1,0,0,7,0.835,59,1
1,1,1,8,0.519,57,1
1,0,1,7,1.245,48,0
1,0,0,7,0.587,61,1
1,0,0,7,1.005,69,1
1,1,0,7,1.454,55,0
1,1,1,7,0.629,9,1
1,0,1,7,0.616,5,0
1,0,1,7,0.645,54,0
1,0,1,7,0.488,45,0
1,1,1,7,0.635,8,1
1,0,0,7,1.479,68,1
1,1,1,5,2.619,10,1
1,0,1,7,0.537,29,0
1,1,1,7,0.504,39,1
1,0,1,7,0.496,7,0
1,1,1,7,1.292,30,1
1,0,0,7,3.431,24,1
1,0,1,8,0.536,11,0
1,0,1,6,0.582,3,0
1,1,1,7,1.188,63,1
1,0,1,8,1.248,40,0
1,1,1,7,0.517,38,1
1,0,0,7,2.263,41,1
1,0,1,7,0.564,37,0
1,1,1,7,0.646,44,1
1,0,0,7,1.595,1,1
1,1,1,7,0.475,35,1
1,1,0,5,0.685,66,0
1,1,1,7,0.463,22,1
1,1,1,7,0.45,16,1
1,1,1,7,0.558,46,1
1,1,1,8,1.251,70,1
1,0,1,7,0.46,19,0
1,0,1,5,2.036,14,0
1,0,1,7,0.583,17,0
1,1,1,7,0.453,23,1
1,0,1,7,0.441,12,0
1,1,1,8,0.739,64,1
1,0,0,5,0.659,50,1
1,0,1,7,0.605,26,0
1,1,1,7,1.747,67,1
1,0,0,7,0.792,62,1
1,1,1,7,0.47,18,1
1,0,1,7,7.28,42,0
1,0,0,7,0.588,47,1
1,0,1,7,0.465,36,0
1,1,1,7,0.836,31,1
1,1,1,9,0.643,53,1
1,0,1,7,1.216,20,0
1,0,1,8,0.926,28,0
1,0,1,7,0.54,56,0
1,1,1,7,1.088,34,1
1,0,0,7,0.623,27,1
1,1,1,7,0.499,60,1
1,0,1,9,0.505,7,0
1,1,1,7,2.055,21,1
1,0,0,7,2.078,70,1
1,1,1,7,1.599,57,1
1,0,1,9,0.52,68,0
1,0,0,7,0.615,59,1
1,0,1,8,0.434,51,0
1,1,1,7,0.904,34,1
1,0,1,7,2.022,13,0
1,1,1,9,1.418,61,1
